Korean,English
수영장,swimming pool
시장,market
운동장,Playground
불만,dissatisfaction
불편,Inconvenience
불완전,imperfection
불안,unrest
영상,video
동사,verb
동물,animal
주말,Weekend
이유,Reason
날짜,date
음악,music
사진,Picture
병원,hospital
여자,Woman
남자,man
화장,Makeup
가격,price
약국,pharmacy
색깔,Color
유리,Glass
역,station
냉장고,Refrigerator
단어,word
실외,Outdoors
미용실,Salon
실내,inside
병실,ward
화장실,restroom
교실,Classroom
방학,Vacation
독학,self study
학기,semester
학년,school year
학원,Academy
감기,cold
선물,Gift
냄새,smell
부모님,parents
겨울,winter
편지,letter
가울,Gaul
여름,summer
봄,spring
우리,Us
문,door
자동차,car
도서관,library
공원,Park
열쇠,key
팔찌,bracelet
고등학생,high school student
초등학생,Elementary student
축구,Football
강가지,River branches
비,ratio
신발,shoes
서점,bookstore
회사,company
연필,pencil
목얼이,The mokeol
대학생,College student
중학생,Middle schooler
동생,Brother
선생님,Teacher
모자,hat
치마,skirt
옷,dress
칼,knife
뉴스,news
사무실,office
컴퓨터,computer
책,book
학생,student
차,car
우유,milk
뭐,What
무슨,what
너무,Too
내일,tomorrow
과학,Science
역사,history
카페,Cafe
지갑,wallet
청바지,Blue jeans
가위,Scissors
영화,movie
학교,school
집,House
핸드폰,cell phone
가방,bag
친구,friend
밥,rice
커피,coffee
물,water
지금,now
숙제,homework
수학,Mathematics
시험,exam
그분,His
물리학,Physics
화학,chemistry
영,Zero
점,point
퍼센트,percent
쇼핑,shopping
줄,line
신발끈,Shoelace
전공,Major
피에로,Pierrot
인사하다,Greet
낮,day
낮잠,nap
빈칸,blank
통,container
아저씨,Mister
아줌마,Madame
아가씨,miss
총각,bachelor
시집가다,Marry(womman)
장가가다,Marry(men)
싱겁다,bland
바퀴,wheel
개미,ant
이따,later
아까,earlier
짐,load
일,Work
이사가다,Move out
이사오다,move in
생일,birthday
시끄럽다,noisy
어리다,young
젊다,young
늙다,old
밀다,Push
당기다,pull
순간,Moment
인기,popularity
요리사,Cook
하루 중일,all day
벌써,already
이미,already
시작,start
녹차,green tea
홍차,black tea
층,floor
떼,bevy
지나가다,Pass by
동아리,Circles
위층,Upstairs
아래층,Downstairs
지하,Underground
알려주다,Let know
계약,contract
계약서,contract
줄이다,Reduce
늘리다,increase
그름,And wrong
과학자,Scientist
가수,Singer
간호사,nurse
배우,Actor
화가,artist
의사,doctor
운동선수,athlete
소방관,firefighter
다니다,attend
공책,Notebook
인형,doll
박물관,Museum
미술관,Art gallery
구경하다,take a look
유명하다,Famous
문구점,Stationery
농구,basketball
야구,baseball
영화관,Movie Theaters
공연장,concert hall
원숭이,monkey
정리하다,Straighten out  
닦다,To wipe
빨래하다,do the loundry
청소리하다,clean up
쓸다,sweep
장난감,toy
걸레,Mop
거실,Livingroom
책꽂이,Mounting stand
쓰레기통,trash can
쓰레기받이,Garbage Bay
빗자루,broom
바닥,floor
창문,window
모두,all
대걸레,Mop
